obscode,lat,lon,elevation,name
083,50.173914119606195,30.5056,83.62493622675538,Golosseevo-Kiev
084,59.60479942745954,30.3274,30.793479662388563,Pulkovo
085,50.26558736682713,30.502299999999998,105.20621695648879,Kiev
086,46.2835306906679,30.7582,-7.880363552831113,Odessa
087,29.69067294367926,31.3411,51.50616110675037,Helwan
088,29.76515745704627,31.825,437.6245633624494,Kottomia
089,46.78200397243172,31.9747,-19.74438225198537,Nikolaev
090,49.84732817638162,8.25,1817.5436190357432,Mainz
091,45.189181301968034,4.20919,395.05029030609876,"Observatoire de Nurol, Aurec sur Loire"
092,52.91265238033153,18.5546,27.730685783550143,Torun-Piwnice
093,69.22476080770606,20.3647,-167.27753379754722,Skibotn
094,44.209423472294326,33.9974,296.69298249669373,Crimea-Simeis
095,44.53600941551889,34.016,521.219186344184,Crimea-Nauchnij
